final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
inspire-ky,inspire-ky,Inspire KY,G3,Inspire KY (G3),true,21,21,383473.37,21000.0,,,65.0,231.0,,12882.93,13610.78,,47789.709999999992,187188.82,47789.709999999992,234978.52999999997,34675.78,6,90717.33,36264.56,6000.0,42264.56,6000.0,1070923.0,683844.71000000008,61.276361902261947,46.589290050754357,63.855637613535244,474776.55333333329,393108.43,62.30807218677127,53.495829075866709,3.2154036093385634,2.7747914537933354,15265.982432173227,10907.939119781156,13086.960775977192,3045.7705197811556
jaybird-aba,jaybird-aba,Jaybird ABA,G3,Jaybird ABA (G3),true,21,7,8846.64,5000.0,,,86.65,,,,,,5086.65,1310.3799999999997,5086.65,6397.03,5086.65,5,8526.02,6264.82,86.65,6351.4699999999993,86.65,8608.82,,72.3102782525343,74.49513372007101,0.0,15165.66857142857,44335.304000000004,43.386166951520579,44.6970802320426,2.269308347576029,2.33485401160213,344.15578285714287,477.76828799999976,410.96203542857131,68.5193279999998
joyful-holistic,joyful-holistic,Joyful and Holistic ABA,G3,Joyful and Holistic ABA (G3),true,21,0,,,,,,,,,,,,-301.33,,-301.33,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapwa-behavior-services,kapwa-behavior-services,Kapwa Behavior Services,G2,Kapwa Behavior Services (G2),true,21,0,,,,,,,,,27.99,,27.99,-536.46999999999991,27.99,-508.47999999999996,27.99,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
little-teddy-bears-aba-s,little-teddy-bears-aba-s,Little Teddy Bears ABA Services,G4,Little Teddy Bears ABA Services (G4),true,21,21,404490.5,,,,,,,,,,,259630.27,,259630.27,0.0,6,152114.09,98911.5,,98911.5,0.0,947898.15999999992,560824.93,64.186988322346267,65.024548350517691,59.165103770219375,500797.76190476189,659161.05666666664,62.17823450149551,62.680770518398361,3.2089117250747754,3.2340385259199182,16070.158100673962,21317.522520460821,18693.840310567393,8134.30138712749
luce-therapies,luce-therapies,LUCE Therapies,G3,LUCE Therapies (G3),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lumen-behavioral-service,lumen-behavioral-service,Lumen Behavioral Services,G2,Lumen Behavioral Services (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main-line-aba-consultant,main-line-aba-consultant,Weatherbee ABA Consultants,G2,Weatherbee ABA Consultants (G2),true,21,0,,,,,,,,,,,,-473.50999999999993,,-473.50999999999993,0.0,0,,-295.21,,-295.21,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
measuring-milestones,measuring-milestones,Measuring Milestones,G1,Measuring Milestones (G1),true,21,0,,,,,,,,,,,,-1306.23,,-1306.23,0.0,0,,-448.18,,-448.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mi-lexie,mi-lexie,Lexie's Practice,G2,Lexie's Practice (G2),true,21,21,302086.82999999996,27500.0,,,-167.7,127.16,,,,,27459.46,179337.46000000002,27459.46,206796.91999999998,27332.3,6,93213.81,56580.82,7459.46,64040.280000000006,7332.3,737570.71,651621.29,68.456119056895,68.702566711949657,88.34695862583807,374012.26571428566,403926.51,76.412454884472226,76.560323477505023,3.9206227442236115,3.928016173875251,14663.609955780332,15866.298643369832,15264.954299575082,7787.7684433698341
mosaic-aba,mosaic-aba,Mosaic ABA,G2,Mosaic ABA (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurorevolution,neurorevolution,Neuro[R]evolution,G1,Neuro[R]evolution (G1),true,21,20,13868.469999999998,,,,,,,237.12,,,237.12,6150.93,237.12,6388.0499999999993,0.0,6,3783.8599999999997,953.06,,953.06,0.0,35602.97,11640.93,46.061678036582265,25.187506937360261,32.696513802078869,17335.587499999998,16396.726666666666,40.715612342780908,28.191109683247703,2.1357806171390452,1.5095554841623851,370.25011769217912,237.99777559594509,304.12394664406213,0.0
nh-ally,nh-ally,Empowering Minds ABA Solutions,G1,Empowering Minds ABA Solutions (G1),true,21,21,34202.14,,,,,,,,,,,26678.83,,26678.83,0.0,6,10978.74,8905.119999999999,,8905.119999999999,0.0,83755.090000000011,73003.29,78.003393939677466,81.112404520008667,87.162810045335732,42345.506666666668,47574.54,81.667160381940775,83.5325667301395,4.1833580190970387,4.2766283365069748,1771.4641488672712,2034.5862586028454,1903.0252037350583,1083.0954586028454
nlbc,nlbc,Northern Lights Behavioral Consulting,G2,Northern Lights Behavioral Consulting (G2),true,21,18,55108.520000000004,,,,,,,,429.01,,429.01,37370.21,429.01,37799.22,429.01,6,29274.9,19966.91,,19966.91,0.0,120654.70999999999,72873.48,68.590519215540539,68.204878581993441,60.398371518194359,70416.44222222222,126857.90000000001,65.313660136602067,65.0822757564738,3.3656830068301034,3.35411378782369,2369.9942298876713,3764.0015862077908,3066.997908047731,1519.5925862077904
nm-lc,nm-lc,Finni South New Mexico,G1,Finni South New Mexico (G1),true,21,21,2385864.86,37416.649999999994,,33157.85,-19842.300000000003,4188.24,,27500.8,,,82421.24,1647515.8900000001,82421.24,1729937.1300000004,50732.200000000004,6,742044.14000000013,524780.73,8989.17,533769.9,8989.17,5815581.7799999993,5765410.64,72.507758465414526,71.932365101623191,99.13729800563479,2953927.9219047618,3215524.6066666674,83.159574281502643,82.814338263227825,4.257978714075132,4.2407169131613909,125777.62214382665,136361.29584177965,131069.45899280315,72050.803708446329
ny-wc,ny-wc,Finni New York,G1,Finni New York (G1),true,21,21,62657.19,,,,,,,46562.049999999996,,,46562.049999999996,-14792.369999999999,46562.049999999996,31769.679999999997,0.0,6,19856.99,462.20999999999981,9870.26,10332.47,0.0,152384.97,129501.34,50.703965498612355,52.034422135479744,84.983013744728225,77575.568571428579,86046.956666666665,64.4155847970587,65.213858779179134,3.3207792398529348,3.3606929389589566,2576.1133763178782,2891.7739968857395,2733.9436866018086,1170.8348635524064
oak-soul-aba,oak-soul-aba,Oak Soul ABA Therapy,G2,Oak Soul ABA Therapy (G2),true,21,0,,,,,,,,,,,,-355.39,,-355.39,0.0,0,,-266.36,,-266.36,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odyssey-aba-llc,odyssey-aba-llc,Odyssey ABA LLC”,G1,Odyssey ABA LLC” (G1),true,21,16,62112.569999999992,,,,-461.40000000000003,,,,,,-461.40000000000003,50200.999999999985,-461.40000000000003,49739.599999999991,-461.40000000000003,6,31448.3,25379.88,-124.6,25255.280000000002,-124.6,136444.19,112838.8,80.079764852750415,80.307298009749346,82.699600474010666,81522.748124999984,136275.96666666667,81.1276991012545,81.264218995453874,4.156384955062725,4.1632109497726937,3388.3992380211794,4582.4067419107823,3985.4029899659809,2381.0257419107811
ohio-kc-aba,ohio-kc-aba,Ohio KC ABA,G1,Ohio KC ABA (G1),true,21,0,,,,,,,,,101.93,,101.93,-678.41,101.93,-576.48,101.93,0,,-500.11,101.93,-398.18,101.93,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open-doors-aba,open-doors-aba,Open Doors ABA,G3,Open Doors ABA (G3),true,21,21,182879.18999999997,,,256.6,,,,,84.95,,341.54999999999995,119801.68000000001,341.54999999999995,120143.23,341.54999999999995,6,62078.46,40029.95,341.54999999999995,40371.499999999993,341.54999999999995,533955.98,466860.68,65.6954079903788,65.033024337266085,87.434301232097823,226421.85428571427,269006.66,74.390965287066408,73.99353509519878,3.8195482643533203,3.7996767547599388,8648.2920054866045,10221.383528776101,9434.8377671313538,4841.2503287761028
open-roads-aba-,open-roads-aba-,Open Roads ABA,G1,Open Roads ABA (G1),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsimonybx,parsimonybx,Parsimony Behavioral Health LLC,G4,Parsimony Behavioral Health LLC (G4),true,21,1,88.44,,,,,,,,,,,-481.9199999999999,,-481.9199999999999,0.0,1,88.44,-258.75,,-258.75,0.0,239.04,215.14,-544.911804613297,-292.57123473541384,90.001673360107091,530.64,2299.44,0.0,0.0,0.0,0.0,0.53063999999999811,0.53063999999999811,0.53063999999999811,0.0
peak-behavior-solutions,peak-behavior-solutions,Peak Behavior Solutions,G1,Peak Behavior Solutions (G1),true,21,0,,,,,,,,,,,,-473.50999999999993,,-473.50999999999993,0.0,0,,-295.21,,-295.21,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peak-era-aba-wellness-ll,peak-era-aba-wellness-ll,Peak Era ABA Wellness LLC,G4,Peak Era ABA Wellness LLC (G4),true,21,11,5779.6699999999992,,,,,,,,,,,3915.52,,3915.52,0.0,6,4503.44,3230.9,,3230.9,0.0,11442.939999999999,3140.5,67.7464284293048,71.742934290231474,27.44486993727137,8406.7927272727266,19514.906666666666,51.625805032491428,54.023708549047427,2.6812902516245716,2.8011854274523715,225.41051387064709,336.39921337082956,280.9048636207383,96.215746704162854
pivot-aba,pivot-aba,Pivot ABA,G4,Pivot ABA (G4),true,21,21,125215.56999999998,,,,,,,2528.12,,,2528.12,88688.930000000008,2528.12,91217.05,0.0,6,38505.69,28045.510000000002,300.53,28346.04,0.0,369027.44,145123.16,72.848009237189927,73.6151981694134,39.325845254217413,155028.80095238093,166857.99000000002,59.439143644000922,59.899457003335009,3.071957182200046,3.0949728501667506,4762.4183853352788,5164.2094888339525,4963.3139370846156,1827.0496888339519
pivotalpathways,pivotalpathways,Pivotal Pathways,G2,Pivotal Pathways (G2),true,21,0,,,,,,,,,,,,-479.62999999999994,,-479.62999999999994,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reachforthesky,reachforthesky,ReachForTheSky,G2,ReachForTheSky (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ri-spenser,ri-spenser,Spenser's Practice,G3,Spenser's Practice (G3),true,21,0,,,,,,,,,,,,-837.65000000000032,,-837.65000000000032,0.0,0,,-284.90000000000003,,-284.90000000000003,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river-rock,river-rock,River Rock Behavioral Therapy,G4,River Rock Behavioral Therapy (G4),true,21,20,64673.78,,,,,,,946.8,,,946.8,50088.39,946.8,51035.189999999995,0.0,6,25505.359999999997,21231.969999999998,,21231.969999999998,0.0,149853.55,127224.43999999997,78.911716618388468,83.245129651179212,84.8991832358993,80842.224999999991,110523.22666666664,81.3067032653928,83.906751085067242,4.16533516326964,4.2953375542533623,3367.3496246945597,4564.75544344798,3966.0525340712697,2439.3087767813136
roadmap-aba-inc,roadmap-aba-inc,Roadmap ABA Inc.”,G2,Roadmap ABA Inc.” (G2),true,21,0,,,,,,,,,,,,-428.85999999999996,,-428.85999999999996,0.0,0,,-295.21,,-295.21,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roots-aba-services,roots-aba-services,Roots ABA Services,G1,Roots ABA Services (G1),true,21,21,126997.54000000001,,,,,,,,,,,100496.98,,100496.98,0.0,6,39964.8,31451.850000000002,,31451.850000000002,0.0,304561.86,219210.85999999996,79.133013127655843,78.69888001441268,71.9758081330341,157235.04952380955,173180.80000000002,76.27013112980714,76.009651261861251,3.9135065564903568,3.9004825630930626,6153.4039722151465,6754.8869066250709,6454.1454394201082,3291.2709066250709
santana-institute,santana-institute,The Santana Institute for Learning,G2,The Santana Institute for Learning (G2),true,21,0,,,,,,,,,120.0,,120.0,-628.4799999999999,120.0,-508.47999999999996,120.0,0,,-450.18,120.0,-330.18,120.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sense-sational,sense-sational,SenseSational Learning Group,G4,SenseSational Learning Group (G4),true,21,21,100582.76000000002,,3500.0,962.0,1252.18,,,,,,5714.1799999999994,60224.500000000007,5714.1799999999994,65938.68,5714.1799999999994,6,40221.23,25512.760000000002,697.7,26210.46,697.7,239018.28,99738.209999999992,65.5566421124256,65.165734613287555,41.7282770171386,124531.03619047621,174291.99666666667,56.0252960743108,55.790751574827972,2.9012648037155397,2.8895375787413986,3612.9751226965473,5036.23274042204,4324.6039315592934,1550.3928070887059
sentinel-neurobx,sentinel-neurobx,Sentinel Neurobehavioral Care & Solutions,G1,Sentinel Neurobehavioral Care & Solutions (G1),true,21,0,,,,,,,,,28.0,,28.0,-646.53000000000009,28.0,-618.53000000000009,28.0,0,,-358.18,28.0,-330.18,28.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small-steps,small-steps,Small Steps ABA,G1,Small Steps ABA (G1),true,21,21,167478.50999999998,,,,,1048.1399999999999,,1220.66,,4402.0099999999993,6670.81,112476.81,6670.81,119147.62,4402.01,6,50249.96,32528.26,2781.4499999999994,35309.710000000006,1560.79,418716.37000000005,255464.84999999998,71.142034879579484,70.268135536824317,61.011431198641688,207354.34571428568,217749.82666666669,67.089793407204354,66.565453801551257,3.4544896703602177,3.4282726900775629,7163.0344537430137,7465.0578403045638,7314.0461470237888,3110.0613069712308
sound-behavior-services,sound-behavior-services,Sound Behavior Services,G3,Sound Behavior Services (G3),true,21,0,,,,,,,,,,,,-374.69,,-374.69,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spark-joy,spark-joy,SparkJoy ABA,G4,SparkJoy ABA (G4),true,21,21,197200.58999999997,24518.0,,,-97.499999999999986,,,,,,24420.5,77084.21,24420.5,101504.70999999998,24420.5,6,72238.010000000009,28682.29,10620.800000000001,39303.09,10620.800000000001,580618.04,454123.82,51.472822672589366,54.407769538501952,78.213866727254981,244153.11142857137,313031.37666666671,62.169240294455612,63.930208414003168,3.2084620147227807,3.2965104207001583,7833.5598379494968,10319.111951877832,9076.3358949136637,4058.4844185444977
ssa-aba,ssa-aba,Sun and Sage ABA,G1,Sun and Sage ABA (G1),true,21,9,28966.07,,,,,,,133.42,264.74,,398.15999999999997,20996.809999999998,398.15999999999997,21394.97,264.74,6,22743.99,17087.440000000002,,17087.440000000002,0.0,53460.820000000007,49289.68,73.862177368210467,75.129473764277961,92.197762772811927,45058.331111111111,98557.290000000008,81.196411530051051,81.956789367691556,4.1598205765025522,4.1978394683845774,1874.345728988651,2227.7644407793637,2051.0550848840076,1166.3782407793638
stephanie-bs-practice-ga,stephanie-bs-practice-ga,Naya Behavioral Health,G2,Naya Behavioral Health (G2),true,21,12,25802.35,,,,,,,,,,,19964.75,,19964.75,0.0,6,14982.740000000002,11646.98,,11646.98,0.0,56717.829999999994,40269.12,77.375704150978493,77.735981536087522,70.999049152620969,36553.329166666663,64925.206666666672,74.825042151635486,75.0412085827009,3.8412521075817745,3.8520604291350451,1404.1055270058866,1635.241896430533,1519.6737117182097,786.21996309719964
tala-horizon-solutions,tala-horizon-solutions,Tala Horizon Solutions,G2,Tala Horizon Solutions (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teachdbb,teachdbb,TE(A)CH Developmental and Behavioral Supports LLC,G4,TE(A)CH Developmental and Behavioral Supports LLC (G4),true,21,0,,,,,,,,,,,,-463.83,,-463.83,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the-behavior-architects,the-behavior-architects,The Behavior Architects,G2,The Behavior Architects (G2),true,21,0,,,,,,,,,500.0,,500.0,-1238.6299999999999,500.0,-738.63,500.0,0,,-342.95000000000005,,-342.95000000000005,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the-social-collective-th,the-social-collective-th,The Social Collective Therapy Group,G2,The Social Collective Therapy Group (G2),true,21,0,,,,,,,,,,,,-479.62999999999994,,-479.62999999999994,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrive-consulting,thrive-consulting,Thrive Behavior Consulting,G1,Thrive Behavior Consulting (G1),true,21,21,5387.27,,,,,,,,,,,2859.89,,2859.89,0.0,6,1799.7299999999998,1095.6399999999999,,1095.6399999999999,0.0,16947.1,10811.62,53.086071423930846,60.878020591977688,63.796283729959711,6669.9533333333338,7798.83,57.370156346342391,62.0453258471705,2.9685078173171195,3.2022662923585252,197.99808611140378,249.73930428834436,223.86869519987408,93.762704288344381
tn-kb-bh,tn-kb-bh,KB Behavioral Health Professionals,G3,KB Behavioral Health Professionals (G3),true,21,21,305377.39000000007,,,,0.17,404.15,-1696.36,,,,-1292.03,115995.31,-1292.03,114703.28000000003,-1696.1799999999998,6,115370.37000000001,39823.81,,39823.81,0.0,1174741.6099999999,1058025.27,37.561156705150964,34.518230287377946,90.064509590326,378086.29238095245,499938.27,58.562497859220983,56.736742008557172,3.0281248929610491,2.9368371004278586,11448.925136461115,14682.372592597198,13065.648864529157,4683.6071925971992
va-elizabeth,va-elizabeth,Academy For Effective Behavior Intervention,G1,Academy For Effective Behavior Intervention (G1),true,21,21,208572.75999999998,1700.0,2081.75,-2321.76,,4083.4700000000003,,,,,5543.46,140570.58,5543.46,146114.03999999998,1459.9899999999998,6,84832.67,60066.04,402.0,60468.04,-240.0,597648.5,559919.3,70.05422951683623,71.279189963017785,93.687058530223041,258232.94095238094,367608.23666666669,79.507361122190957,80.242337389899888,4.0753680561095482,4.1121168694949946,10523.942785925565,15116.480313623084,12820.211549774325,7764.3155802897518
well-aba,well-aba,Well ABA,G2,Well ABA (G2),true,21,10,7822.74,,,,,,,,,,,5849.6399999999994,,5849.6399999999994,0.0,0,,-297.66,,-297.66,0.0,21142.519999999997,19824.770000000004,74.77737979275804,0.0,93.76729926233962,11734.11,,82.373347580590661,37.506919704935846,4.218667379029533,1.9753459852467921,495.02307078944233,0.0,247.51153539472116,0.0
windwatch-behavioral-ser,windwatch-behavioral-ser,Windwatch Behavioral Services,G4,Windwatch Behavioral Services (G4),true,21,3,1248.07,,,,,,,,,,,-4.7099999999999511,,-4.7099999999999511,0.0,3,1248.07,307.26,,307.26,0.0,1000.0,,-0.37738267885615,24.618811444870879,0.0,3328.1866666666665,10816.606666666667,0.0,14.771286866922527,0.0,0.83856434334612606,3.3281866666666549,27.908986666666657,15.618586666666655,0.0
