final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
behavior-in-context-llc,behavior-in-context-llc,Mini Miracles Therapy Services,G4,Mini Miracles Therapy Services (G4),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behavioral-bridges-llc,behavioral-bridges-llc,Behavioral Bridges LLC,G3,Behavioral Bridges LLC (G3),true,21,5,7195.13,,,,,,,,,,,5530.4,,5530.4,0.0,5,7195.13,5530.4,,5530.4,0.0,5771.5,,76.8631004582266,76.8631004582266,0.0,14390.26,37414.676,46.117860274935957,46.117860274935957,2.4058930137467978,2.4058930137467978,346.21425999999991,346.21425999999991,346.21425999999991,58.40905999999994
beyond-behavior,beyond-behavior,Beyond Behavior,G1,Beyond Behavior (G1),true,21,21,116959.99000000002,9750.0,,,,,,426.15,,,10176.15,71836.579999999987,10176.15,82012.729999999981,9750.0,6,39998.829999999994,29115.930000000004,,29115.930000000004,0.0,276733.87,203691.14,70.120329182654658,72.79195416465933,73.605424590781027,144807.60666666669,173328.26333333331,71.5143673459052,73.117342335108,3.67571836729526,3.7558671167554003,5322.7197954873427,6509.9792465798728,5916.3495210336077,3043.4139799132072
bloom-behavior,bloom-behavior,Bloom Behavior,G2,Bloom Behavior (G2),true,21,10,12003.94,,,,,,,,500.49,,500.49,9616.63,500.49,10117.119999999999,500.49,6,6795.44,5291.96,423.0,5714.96,423.0,25786.03,,84.281660854686038,84.099925832617174,0.0,18005.91,29446.906666666666,50.568996512811623,50.459955499570306,2.6284498256405811,2.6229977749785149,473.27630999999997,445.61059999999992,459.443455,105.83860000000001
blossom-aba-therapy,blossom-aba-therapy,Blossom ABA Therapy,G4,Blossom ABA Therapy (G4),true,21,21,396509.13,,,,-8.3,992.48,,,,,984.18000000000006,271961.42,984.18000000000006,272945.60000000003,-8.3,6,147318.07,102889.17,-8.3,102880.87000000001,-8.3,944518.85,743287.15,68.837153888486753,69.835879603907387,78.694792592016555,490916.06571428571,638378.30333333334,72.780209369898671,73.379444799151059,3.7390104684949335,3.7689722399575531,18355.40308858061,24060.301038545356,21207.852063562983,11292.73497187869
bridging-voices,bridging-voices,Bridging Voices Therapeutic Services,G3,Bridging Voices Therapeutic Services (G3),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4behaviorllc,c4behaviorllc,C4BehaviorLLC,G2,C4BehaviorLLC (G2),true,21,0,,,,,,,,52.48,,,52.48,-743.46,52.48,-690.98,0.0,0,,-698.95,52.48,-646.47,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chockstone,chockstone,Chockstone Behavioral Consulting LLC,G2,Chockstone Behavioral Consulting LLC (G2),true,21,21,25222.920000000002,,,,49.7,,,,,,49.7,13562.109999999997,49.7,13611.809999999998,49.7,6,11028.28,6586.52,,6586.52,0.0,57747.18,4183.3,53.96603565328676,59.723909802797905,7.2441632647689467,31228.377142857145,47789.21333333334,35.277286697879632,38.732011187586323,1.8638643348939814,2.0366005593793162,582.05458393189849,973.2753860696414,777.66498500077,17.491119402974746
cl-autism-center,cl-autism-center,Clarksville Autism Center LLC,G3,Clarksville Autism Center LLC (G3),true,21,17,72221.83,,,352.5,,2280.0,,3.5,500.0,,3136.0,49545.26,3136.0,52681.26,852.5,6,40695.14,27250.97,2632.5,29883.47,352.5,153190.66,151875.25,72.943679217211752,73.432527815360757,99.141324934561936,93463.544705882363,176345.60666666666,83.422737504151826,83.716046663041226,4.2711368752075911,4.2858023331520609,3991.9559228090739,6395.081951864825,5193.5189373369494,3410.7716851981586
climb-and-thrive-aba-,climb-and-thrive-aba-,Climb and Thrive ABA,G4,Climb and Thrive ABA (G4),true,21,3,1631.79,,,,,,,,145.01,,145.01,618.99999999999989,145.01,764.01,145.01,3,1631.79,708.03,145.01,853.04,145.01,462.24,,46.8203629143456,52.276334577365958,0.0,4351.44,14142.179999999998,28.092217748607361,31.365800746419573,1.5046108874303679,1.6682900373209786,65.47224,72.594639999999984,69.033439999999985,0.0
